作品ID,作品名,ジャンル,配給社,レーティング,公開日,終映日,上映日数,動員数合計,興行収入合計,レイト上映有無
M0051,劇場版　忍たま乱太郎　ドクタケ忍者隊…,邦画実写,松竹株式会社,G,2025-02-21,2025-12-25,308,1933,2943640,False
M0052,機動戦士Gundam GQuuuuuuX -Beginning-,邦画実写,東宝株式会社,G,2025-02-21,2025-04-10,49,1858,2913300,True
M0053,かくかくしかじか,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-05-16,2025-06-26,42,2032,2802520,True
M0054,MGA…10YEARS DOCUMENTARY FILM,邦画実写,東宝株式会社,G,2025-11-28,2025-12-31,34,1969,2769000,True
M0055,LUPIN THE IIIRD THE MOVIE 不死身の血族,邦画実写,東宝株式会社,G,2025-06-27,2025-07-24,28,1788,2745400,True
M0056,新解釈・幕末伝,邦画実写,東宝株式会社,G,2025-12-19,2025-12-31,13,1938,2745300,True
M0057,（LOVE SONG）,邦画実写,株式会社KADOKAWA,G,2025-10-31,2025-12-04,35,1879,2710860,True
M0058,映画 すみっコぐらし 空の王国とふたりのコ,邦画実写,アスミック・エース株式会社,G,2025-10-31,2025-12-29,60,2053,2694270,False
M0059,宝島,邦画実写,東映株式会社,PG12,2025-09-19,2025-11-06,49,1906,2661360,True
M0060,映画『少年と犬』,邦画実写,東宝株式会社,G,2025-03-20,2025-04-24,36,1936,2554700,True
M0061,(字幕)サンダーボルツ*,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-05-02,2025-06-05,35,1703,2550900,True
M0062,(吹替)羅小黒戦記２ ぼくらが望む未来,邦画アニメ,株式会社アニプレックス,G,2025-11-07,2025-12-31,55,1674,2545180,True
M0063,ゾンビランドサガ　ゆめぎんがパラダイス,邦画実写,東映株式会社,G,2025-10-24,2025-12-03,41,1579,2524840,True
M0064,花まんま,邦画実写,東映株式会社,G,2025-04-25,2025-06-05,42,1807,2520160,True
M0065,この素晴らしい世界に祝福を！3 BONUS…,邦画実写,株式会社KADOKAWA,G,2025-03-14,2025-04-10,28,1646,2483760,True
M0066,JO1 THE MOVIE『未完成』-Bon Voyage-,邦画実写,東宝株式会社,G,2025-07-04,2025-07-31,28,1652,2448100,True
M0067,果てしなきスカーレット,邦画実写,東宝株式会社,G,2025-11-21,2025-12-31,41,1711,2420400,True
M0068,(3D吹替)ｱﾊﾞﾀｰ ﾌｧｲﾔｰ･ｱﾝﾄﾞ･ｱｯｼｭ,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-12-19,2025-12-31,13,1384,2415800,True
M0069,(字幕)スーパーマン,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-07-11,2025-08-21,42,1655,2400780,True
M0070,366日,邦画実写,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-02-21,2025-04-03,42,1948,2382640,False
M0071,新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ劇場版 Air/まごころを…,邦画実写,株式会社K2 Pictures,G,2025-10-24,2025-11-03,11,1513,2381100,False
M0072,ストロベリームーン　余命半年の恋,邦画実写,松竹株式会社,G,2025-10-17,2025-11-20,35,1815,2334080,True
M0073,ババンババンバンバンパイア,邦画実写,松竹株式会社,G,2025-07-04,2025-08-07,35,1659,2322640,True
M0074,知らないカノジョ,その他,ギャガ株式会社,G,2025-02-28,2025-04-03,35,1723,2313700,True
M0075,片思い世界,邦画実写,東京テアトル株式会社,G,2025-04-04,2025-05-08,35,1570,2287240,True
M0076,平場の月,邦画実写,東宝株式会社,G,2025-11-14,2025-12-31,48,1588,2248100,True
M0077,映画ラストマン FIRST LOVE,邦画実写,松竹株式会社,G,2025-12-24,2025-12-31,8,1504,2210860,True
M0078,新世紀エヴァンゲリオン劇場版　シト新生,邦画実写,株式会社K2 Pictures,G,2025-10-10,2025-12-31,83,1436,2196900,True
M0079,MGA MAGICAL 10YEARS…～FJORD～LV 7/27,邦画実写,東宝株式会社,G,2025-07-27,2025-07-27,1,461,2163000,False
M0080,でっちあげ　殺人教師と呼ばれた男,邦画実写,東映株式会社,PG12,2025-06-27,2025-07-24,28,1499,2161200,True
M0081,INI THE MOVIE「I Need I」,邦画実写,東宝株式会社,G,2025-10-31,2025-11-27,28,1453,2154100,True
M0082,(R15+/字幕)ﾊﾞﾚﾘｰﾅ:The World of John Wick,その他,株式会社キノフィルムズ,G,2025-08-22,2025-09-18,28,1467,2127500,True
M0083,ベートーヴェン捏造,邦画実写,松竹株式会社,G,2025-09-12,2025-10-16,35,1491,2091220,True
M0084,裏社員。－スパイやらせてもろてます－,邦画実写,松竹株式会社,G,2025-05-02,2025-06-05,35,1396,2072500,True
M0085,【再上映】もののけ姫,邦画実写,東宝株式会社,G,2025-11-07,2025-11-20,14,1259,2070800,False
M0086,ONE IN A MILL10N,邦画実写,東宝株式会社,G,2025-10-24,2025-11-20,28,1435,2038800,True
M0087,(字幕)アマチュア,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-04-11,2025-05-15,35,1401,2027700,True
M0088,ナイトフラワー,邦画実写,松竹株式会社,PG12,2025-11-28,2025-12-31,34,1405,1939920,True
M0089,山田くんとLv999の恋をする,邦画実写,株式会社KADOKAWA,G,2025-03-28,2025-04-30,34,1462,1908220,True
M0090,遠い山なみの光,その他,ギャガ株式会社,G,2025-09-05,2025-10-09,35,1384,1890360,True
M0091,Ryosuke Yamada LIVETOUR RED 2025LV6/22,邦画実写,株式会社ティ・ジョイ,G,2025-06-22,2025-06-22,1,464,1856000,False
M0092,パリピ孔明 THE MOVIE,邦画実写,松竹株式会社,G,2025-04-25,2025-06-05,42,1304,1840940,True
M0093,父と僕の終わらない歌,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-05-23,2025-06-26,35,1346,1793880,True
M0094,劇場版　緊急取調室 THE FINAL,邦画実写,東宝株式会社,G,2025-12-26,2025-12-31,6,1266,1784600,True
M0095,それいけ！アンパンマン　ﾁｬﾎﾟﾝのﾋｰﾛｰ!,邦画実写,東京テアトル株式会社,G,2025-06-27,2025-08-14,49,1284,1704890,False
M0096,(応)KING OF PRISM-YEC-ルート1オバレ,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-06-27,2025-12-31,188,915,1686700,True
M0097,(字幕)ﾌｧﾝﾀｽﾃｨｯｸ4:ﾌｧｰｽﾄ･ｽﾃｯﾌﾟ,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-07-25,2025-08-28,35,1118,1686400,True
M0098,か「」く「」し「」ご「」と「,邦画実写,松竹株式会社,G,2025-05-30,2025-07-03,35,1306,1683800,True
M0099,TOMORROW X TOGETHER…IN JAPAN LV5/24,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-05-24,2025-05-24,1,306,1683000,False
M0100,ヱヴァンゲリヲン新劇場版：序,邦画実写,株式会社K2 Pictures,G,2025-11-14,2025-11-27,14,1061,1679400,False
M0101,(字幕)プレデター：バッドランド,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-11-07,2025-12-11,35,1151,1665700,True
M0102,火喰鳥を、喰う,邦画実写,株式会社KADOKAWA,G,2025-10-03,2025-10-30,28,1166,1656260,True
M0103,(字幕)ワン・バトル・アフター・アナザー,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-10-03,2025-10-30,28,1139,1644120,True
M0104,アルドノア・ゼロ（Re+）,邦画アニメ,株式会社アニプレックス,G,2025-02-28,2025-03-27,28,992,1614600,True
M0105,楓,邦画実写,東映株式会社,G,2025-12-19,2025-12-31,13,1193,1607120,True
M0106,Mrs.GREEN APPLEゼンジン未到…LV3/2,邦画実写,松竹株式会社,G,2025-03-02,2025-03-02,1,458,1603000,False
M0107,見える子ちゃん,邦画実写,株式会社KADOKAWA,G,2025-06-06,2025-07-10,35,1166,1601480,True
M0108,(字)SEVENTEEN [RIGHT HERE] …IN CINEMAS,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-05-16,2025-06-12,28,627,1587100,True
M0109,俺ではない炎上,邦画実写,松竹株式会社,G,2025-09-26,2025-10-30,35,1138,1583900,True
M0110,親鸞　人生の目的,その他,株式会社ギグリーボックス,G,2025-05-09,2025-06-03,26,1207,1575500,False
M0111,MGA …GREETING & CINEMA VIEWING,邦画実写,東宝株式会社,G,2025-11-29,2025-12-13,15,314,1561000,False
M0112,ｱｲﾄﾞﾘｯｼｭｾﾌﾞﾝ First BEAT! …【前編】,邦画アニメ,株式会社バンダイナムコフィルムワークス,G,2025-10-03,2025-12-31,90,987,1499660,True
M0113,ヱヴァンゲリヲン新劇場版:破,邦画実写,株式会社K2 Pictures,G,2025-12-12,2025-12-18,7,947,1486500,False
M0114,(吹替)F1／エフワン,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-06-27,2025-07-24,28,1018,1469780,True
M0115,盤上の向日葵,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-10-31,2025-12-04,35,1092,1464560,True
M0116,隣のステラ,邦画実写,東宝株式会社,G,2025-08-22,2025-09-25,35,1106,1459800,True
M0117,2019 BTS WORLD TOUR ‘LOVE YOURSELF…,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-10-24,2025-10-30,7,686,1436500,False
M0118,おーい、応為,邦画実写,東京テアトル株式会社,G,2025-10-17,2025-11-20,35,1056,1436200,True
M0119,ロマンティック・キラー,邦画実写,東宝株式会社,G,2025-12-12,2025-12-31,20,1097,1430000,True
M0120,(応)KING OF PRISM-YEC-ルート3クイーン,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-07-11,2025-10-23,105,787,1416600,False
M0121,BATTLE KING!! Map of The Mind 序奏,その他,株式会社SDP,G,2025-02-21,2025-04-05,44,741,1385980,False
M0122,ベルサイユのばら,邦画実写,東宝株式会社,G,2025-02-21,2025-03-19,27,951,1380900,True
M0123,女神降臨 Before 高校デビュー編,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-03-20,2025-06-15,88,1170,1369900,True
M0124,臨場感 THE FIRST SLAM DUNK 2025,邦画実写,東映株式会社,G,2025-10-13,2025-10-26,14,900,1365740,False
M0125,顔だけじゃ好きになりません,邦画実写,アスミック・エース株式会社,G,2025-03-07,2025-04-10,35,1113,1339180,True
M0126,ペリリュー －楽園のゲルニカ－,邦画実写,東映株式会社,PG12,2025-12-05,2025-12-31,27,961,1334530,True
M0127,BTS MAP OF THE SOUL ON:E,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-07-25,2025-07-31,7,606,1309600,False
M0128,グランメゾン・パリ,邦画実写,東宝株式会社,G,2025-02-21,2025-03-27,35,904,1293600,True
M0129,今日の空が一番好き、とまだ言えない僕は,邦画実写,日活株式会社,G,2025-04-25,2025-05-28,34,883,1277940,True
M0130,劇場版 OFFICIAL HIGE DANDISM…2025,その他,株式会社ポニーキャニオン,G,2025-10-17,2025-10-30,14,430,1268900,True
M0131,(応)KING OF PRISM-YEC-ルート2キング,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-07-04,2025-10-16,105,727,1236150,False
M0132,(応)KING OF PRISM-YEC-ルート4はじまり,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-07-18,2025-09-18,63,703,1217800,False
M0133,おいしくて泣くとき,邦画実写,松竹株式会社,G,2025-04-04,2025-05-01,28,923,1206400,True
M0134,(吹替)サンダーボルツ*,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-05-02,2025-05-22,21,758,1176200,False
M0135,2017 BTS LIVE TRILOGY EPISODE III …,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-10-10,2025-10-16,7,561,1172000,False
M0136,(PG12/字幕)死霊館　最後の儀式,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-10-17,2025-11-13,28,777,1165080,True
M0137,(2D字幕)ｱﾊﾞﾀｰ ﾌｧｲﾔｰ･ｱﾝﾄﾞ･ｱｯｼｭ,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-12-19,2025-12-31,13,806,1163100,True
M0138,(R15+/字幕)サブスタンス,その他,ギャガ株式会社,G,2025-05-15,2025-06-12,29,797,1155360,True
M0139,ドラゴン・ハート　霊界探訪記(ﾃｱﾄﾙ),邦画実写,東京テアトル株式会社,G,2025-05-23,2025-07-17,56,850,1130920,False
M0140,プリンセス・プリンシパル 第4章,邦画実写,株式会社 博報堂DYミュージック&ピクチャーズ,PG12,2025-05-23,2025-07-11,50,660,1122000,True
M0141,愚か者の身分,邦画実写,株式会社 博報堂DYミュージック&ピクチャーズ,PG12,2025-10-24,2025-11-27,35,773,1111340,True
M0142,劇場版総集編　ガールズバンドクライ 後編,邦画実写,東映株式会社,G,2025-11-14,2025-12-31,48,678,1070460,True
M0143,劇場版総集編 ガールズバンドクライ 前編,邦画実写,東映株式会社,G,2025-10-03,2025-12-30,89,662,1061130,True
M0144,宝塚歌劇星組「礼真琴ラストデイ」LV 8/10,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-08-10,2025-08-10,1,203,1055600,False
M0145,SHINee WORLD Ⅶ [E.S.S.A.Y] LV 5/25,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-05-25,2025-05-25,1,209,1045000,False
M0146,(字幕)名もなき者/A COMPLETE UNKNOWN,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-02-28,2025-03-27,28,755,1026000,True
M0147,(字幕)ｷｬﾌﾟﾃﾝ･ｱﾒﾘｶ：ﾌﾞﾚｲﾌﾞ･ﾆｭｰ･ﾜｰﾙﾄﾞ,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-02-21,2025-03-13,21,717,1025900,True
M0148,2021 BTS MUSTER SOWOOZOO,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-10-31,2025-11-06,7,488,1011300,False
M0149,金子差入店,邦画実写,株式会社 博報堂DYミュージック&ピクチャーズ,G,2025-05-16,2025-06-12,28,705,990260,True
M0150,韓国ﾐｭｰｼﾞｶﾙ ON SCREEN「ｴﾘｻﾞﾍﾞｰﾄ」,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-07-11,2025-07-24,14,296,987910,True
M0151,(R18+/字幕)ANORA アノーラ,その他,有限会社ビターズ・エンド,G,2025-02-28,2025-03-27,28,690,979140,True
M0152,2016 BTS Live 花樣年華 on stage…,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-10-03,2025-11-03,32,467,976800,False
M0153,羽生結弦 notte stellata 2025LV 3/7～9,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-03-07,2025-03-09,3,244,976000,False
M0154,(吹替)スーパーマン,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-07-11,2025-07-31,21,675,974840,False
M0155,(吹替)パディントン 消えた黄金郷の秘密,その他,株式会社キノフィルムズ,G,2025-05-09,2025-06-12,35,709,972090,True
M0156,港のひかり,邦画実写,東映株式会社,PG12,2025-11-14,2025-12-11,28,731,959730,True
M0157,恋に至る病,邦画実写,アスミック・エース株式会社,PG12,2025-10-24,2025-11-20,28,710,958620,True
M0158,(PG12/ﾘﾊﾞｲﾊﾞﾙ)「鬼滅の刃」無限列車編,邦画アニメ,東宝株式会社,G,2025-05-09,2025-07-02,55,624,955700,True
M0159,(二本立て上映)KINGOFPRISM-YEC-,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-08-12,2025-08-14,3,264,950400,False
M0160,#RUNSEOKJIN_EP.TOUR in JAPAN LV 7/12,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-07-12,2025-07-12,1,139,917400,False
M0161,TM NETWORK Carry on the Memories,その他,株式会社ローソン　エンタテインメントカンパニー,G,2025-02-28,2025-03-13,14,292,917070,True
M0162,(R15+/字幕)28年後...,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-06-20,2025-07-17,28,615,916640,True
M0163,(字幕)ミッキー17,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-03-28,2025-04-24,28,588,876580,True
M0164,TUBE LIVE AROUND…Hawaii in CINEMA7/26,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-07-26,2025-07-26,1,220,858000,False
M0165,ﾐｭｰｼﾞｶﾙ「刀剣乱舞」目出度…LV 7/29・30,邦画実写,株式会社ティ・ジョイ,G,2025-07-29,2025-07-30,2,204,856800,False
M0166,Gen Hoshino presents MAD HOPE LV10/19,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-10-19,2025-10-19,1,187,841500,False
M0167,(吹替)プレデター：バッドランド,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-11-07,2025-11-27,21,574,838800,False
M0168,からぴちパラダイス2025 FIRST公演LV 6/28,邦画実写,株式会社ティ・ジョイ,G,2025-06-28,2025-06-28,1,238,833000,False
M0169,(字幕)白雪姫,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-03-20,2025-04-10,22,573,829200,True
M0170,(吹替)ｷｬﾌﾟﾃﾝ･ｱﾒﾘｶ：ﾌﾞﾚｲﾌﾞ･ﾆｭｰ･ﾜｰﾙﾄﾞ,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-02-21,2025-03-27,35,581,819800,True
M0171,(吹替)野生の島のロズ,その他,東宝東和株式会社,G,2025-02-21,2025-03-13,21,617,812090,True
M0172,(字幕)ベスト・キッド：レジェンズ,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-08-29,2025-10-02,35,585,811260,True
M0173,(吹替)ﾌｧﾝﾀｽﾃｨｯｸ4:ﾌｧｰｽﾄ･ｽﾃｯﾌﾟ,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-07-25,2025-08-14,21,521,799700,False
M0174,はたらく細胞,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-02-21,2025-03-16,24,578,796420,False
M0175,映画　先輩はおとこのこ　あめのち晴れ,邦画アニメ,株式会社アニプレックス,G,2025-02-21,2025-03-19,27,607,795840,True
M0176,映画おしりたんてい　ｽﾀｰ･ｱﾝﾄﾞ･ﾑｰﾝ,邦画実写,東映株式会社,G,2025-03-20,2025-05-02,44,612,787750,False
M0177,Mrs.GREEN APPLE on “Harmony” LV7/12,邦画実写,東宝株式会社,G,2025-07-12,2025-07-12,1,219,766500,False
M0178,#RUNSEOKJIN_EP.TOUR in AMSTERDAMLV8/10,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-08-10,2025-08-10,1,116,765600,False
M0179,(字)ﾌﾞﾘｼﾞｯﾄ･ｼﾞｮｰﾝｽﾞの日記　ｻｲﾃｰ最高な…,その他,東宝東和株式会社,G,2025-04-11,2025-05-08,28,550,764580,True
M0180,T X T WORLD TOUR…IN JAPAN LV 12/28,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-12-28,2025-12-28,1,138,759000,False
M0181,女神降臨 After プロポーズ編,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-05-01,2025-06-05,36,595,751760,True
M0182,ゆきてかへらぬ,その他,株式会社キノフィルムズ,G,2025-02-21,2025-03-19,27,553,746880,True
M0183,BADBOYS -THE MOVIE-,邦画実写,東映株式会社,G,2025-05-30,2025-06-26,28,534,744220,True
M0184,(字幕)アンジェントルメン,邦画実写,株式会社KADOKAWA,G,2025-04-04,2025-05-01,28,522,742220,True
M0185,WIND BREAKER／ウィンドブレイカー,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-12-05,2025-12-31,27,549,740260,True
M0186,Perfume ZO/Z5 Anniversary…DV11/26・27,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-11-26,2025-11-27,2,164,738000,False
M0187,ENHYPEN WORLD TOUR…IN JAPAN LV 8/3,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-08-03,2025-08-03,1,134,737000,False
M0188,(応)KINGOFPRISM-YEC-ルート5ハグ,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-09-26,2025-11-04,40,412,736950,False
M0189,TOMORROW X TOGETHER WORLD TOUR,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-07-10,2025-07-17,8,335,729700,False
M0190,からぴちパラダイス2025 FINAL公演LV 6/29,邦画実写,株式会社ティ・ジョイ,G,2025-06-29,2025-06-29,1,207,724500,False
M0191,(PG12/字幕)JUNK WORLD,邦画アニメ,株式会社アニプレックス,G,2025-06-13,2025-07-17,35,464,712200,True
M0192,SEVENTEEN WORLD TOUR [BE THE SUN],邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-08-01,2025-08-07,7,329,709500,False
M0193,(字幕)ヒックとドラゴン,その他,東宝東和株式会社,G,2025-09-05,2025-10-02,28,482,704740,True
M0194,j-hope Tour ’HOPEONTHESTAGE’ THE MOVIE,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-11-28,2025-12-23,26,308,694800,False
M0195,劇場版YOASOBI 5th…LIVE 2024 “超現実”,その他,株式会社WOWOW,G,2025-02-21,2025-03-06,14,274,673260,True
M0196,j-hope Tour… in JAPAN LV 5/31,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-05-31,2025-05-31,1,102,673200,False
M0197,(2D字幕)トロン：アレス,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-10-10,2025-11-06,28,474,671100,True
M0198,(3D吹替)トロン：アレス,洋画アクション・SF,ウォルト・ディズニー・ジャパン株式会社,G,2025-10-10,2025-10-30,21,389,662700,True
M0199,ｱｲﾄﾞﾘｯｼｭｾﾌﾞﾝFirstBEAT!…後編,邦画アニメ,株式会社バンダイナムコフィルムワークス,G,2025-12-05,2025-12-31,27,439,661000,True
M0200,映画　おでかけ子ザメ　とかいのおともだち,邦画実写,株式会社KADOKAWA,G,2025-08-22,2025-09-15,25,452,657100,False
M0201,ショウタイムセブン,邦画実写,松竹株式会社,G,2025-02-21,2025-03-13,21,465,652700,True
M0202,Red Velvet Happiness Diary…In Cinemas,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-04-11,2025-04-24,14,265,645500,True
M0203,NiziU Live with U 2025LV 11/23,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-11-23,2025-11-23,1,143,643500,False
M0204,(R18+/字幕)アンティル・ドーン,その他,株式会社ソニー・ピクチャーズエンタテインメント,G,2025-08-01,2025-08-28,28,426,640900,True
M0205,ﾗﾌﾞﾗｲﾌﾞ!ｻﾝｼｬｲﾝ!!…未来stageLV6/21・22,邦画実写,株式会社ティ・ジョイ,G,2025-06-21,2025-06-22,2,140,630000,False
