作品ID,作品名,ジャンル,配給社,レーティング,公開日,終映日,上映日数,動員数合計,興行収入合計,レイト上映有無
M0248,2024-25TAEMIN WORLDTOUR…IN JAPANLV4/19,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-04-19,2025-04-19,1,66,316800,False
M0249,(R15+/字幕)Mr.ノボカイン,その他,東宝東和株式会社,G,2025-06-20,2025-07-17,28,218,316420,True
M0250,遺書、公開。,邦画実写,松竹株式会社,PG12,2025-02-21,2025-03-02,10,246,309440,True
M0251,PIERROT「END OF…」先行上映会LV7/13・14,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-07-13,2025-07-14,2,77,308000,False
M0252,NiziU Live with U 2025LV 11/22,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-11-22,2025-11-22,1,67,301500,False
M0253,(PG12/吹替)JUNK WORLD,邦画アニメ,株式会社アニプレックス,G,2025-06-13,2025-07-03,21,185,294200,True
M0254,KING OF PRISM-YEC-ルート3クイーン,邦画アニメ,エイベックス・ピクチャーズ株式会社,G,2025-07-11,2025-07-17,7,172,292450,False
M0255,Stray Kids World Tour<domin ATE>LV5/18,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-05-18,2025-05-18,1,63,283500,False
M0256,ｶﾝｻﾞｷｲｵﾘ 3rd One-Man Memory…再上映8/23,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-08-23,2025-08-23,1,70,280000,False
M0257,Stray Kids World Tour<domin ATE>LV5/11,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-05-11,2025-05-11,1,62,279000,False
M0258,(吹替)ミッキー17,洋画アクション・SF,ワーナーブラザースジャパン合同会社,G,2025-03-28,2025-04-10,14,194,277840,False
M0259,2025 TREASURE FANCONCERT IN JAPAN LV5/18,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-05-18,2025-05-18,1,61,274500,False
M0260,TUBE LIVE AROUND 2025…in CINEMA9/27,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-09-27,2025-09-27,1,70,273000,False
M0261,hololive 6th fes. ｱﾌﾀｰ上映 STAGE2　9/6,邦画実写,株式会社ティ・ジョイ,G,2025-09-06,2025-09-06,1,60,270000,False
M0262,聖飢魔II vs BABYMETAL…DV 12/21,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-12-21,2025-12-21,1,57,256500,False
M0263,この本を盗む者は,邦画実写,株式会社KADOKAWA,G,2025-12-26,2025-12-31,6,175,256240,False
M0264,舞台「刀剣乱舞」士伝 真贋…LV8/11,邦画実写,東宝株式会社,G,2025-08-11,2025-08-11,1,67,254600,False
M0265,2024-25 aespa LIVETOUR LV 3/15,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-03-15,2025-03-15,1,53,254400,False
M0266,映画きかんしゃトーマス　サンタをさがせ！,邦画実写,東京テアトル株式会社,G,2025-12-12,2025-12-31,20,197,254310,False
M0267,あんさんぶるｽﾀｰｽﾞ!!8th最速先行上映会6/7,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-06-07,2025-06-07,1,77,254100,False
M0268,「カラオケ行こ！」大感謝祭 2025,邦画実写,株式会社KADOKAWA,G,2025-05-03,2025-05-05,3,136,245100,False
M0269,ﾌﾟﾛｼﾞｪｸﾄｾｶｲ COLORFUL LIVE 5th LV 12/14,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-12-14,2025-12-14,1,62,241800,False
M0270,(SIDEB)18TRIP“HAMAﾂｱｰｽﾞ全体会議”LV4/20,その他,株式会社ポニーキャニオン,G,2025-04-20,2025-04-20,1,54,237600,False
M0271,ｶﾞｰﾙｽﾞ&ﾊﾟﾝﾂｧｰ 劇場版　10周年記念上映,邦画実写,株式会社 博報堂DYミュージック&ピクチャーズ,G,2025-11-21,2025-12-31,41,140,237300,True
M0272,海辺へ行く道,邦画実写,東京テアトル株式会社,G,2025-08-29,2025-09-25,28,165,233640,True
M0273,ﾏｸﾛｽF ｷﾞｬﾗｸｼｰﾗｲﾌﾞ☆ﾌｧｲﾅﾙ 2025 LV7/27,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-07-27,2025-07-27,1,55,231000,False
M0274,映画　きかんしゃトーマス　2025,邦画実写,東京テアトル株式会社,G,2025-03-28,2025-04-24,28,178,227440,False
M0275,SING2　こくみん共済上映会,その他,東宝東和株式会社,G,2025-02-26,2025-02-26,1,162,226800,False
M0276,モーニング娘。’25ｺﾝｻｰﾄﾂｱｰ春LV7/8,邦画実写,株式会社ティ・ジョイ,G,2025-07-08,2025-07-08,1,56,224000,False
M0277,2025 TAEMIN ARENA TOUR ’Veil’ LV 12/25,邦画実写,株式会社ティ・ジョイ,G,2025-12-25,2025-12-25,1,46,220800,False
M0278,ChaO,邦画実写,東映株式会社,G,2025-08-15,2025-09-04,21,151,216470,True
M0279,NEXZ LIVE TOUR 2025 “One Bite”LV 7/19,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-07-19,2025-07-19,1,48,216000,False
M0280,NiziU FAN-CON…Hong Kong LV 6/21,その他,株式会社ライブ・ビューイング・ジャパン,G,2025-06-21,2025-06-21,1,46,207000,False
